COD_MOD,COD_MOD_DESTINO,WEIGHT
0900993,0416073,1
1010354,0417758,1
0649731,0577346,1
1521236,0577346,1
0436162,0412635,1
1241058,0412635,1
0400036,0412635,1
0324541,0412635,1
1045616,0412635,1
0248765,0412635,1
1185685,0412635,1
1669423,0412635,1
0502054,0766329,2
0762906,0766329,1
0581991,0766329,1
1483668,0766329,1
1488659,0337766,1
0334649,0337766,2
0245670,0337766,1
0449819,0337766,1
0774455,0337766,1
0337717,0337766,1
0751230,0337766,1
1483395,0337766,2
0340281,0337766,1
1170364,0337766,1
1168848,0337766,1
1492008,0337766,1
1380393,0337766,1
1776798,0337766,1
1664895,0337766,1
0245688,0337766,1
1241660,0337766,2
1423102,0337766,2
1523513,0337766,1
0510297,0578237,1
0449819,0578237,1
0340281,0578237,1
0751230,0578237,1
1523513,0578237,1
0337220,0578237,1
0827469,0578237,1
0337733,0578237,1
0664045,0833392,1
0319319,0833392,1
1541861,0833392,1
1492248,0833392,1
0778753,0833392,1
1539709,0833392,1
1723360,0833392,1
0331397,0833392,3
0314633,0833392,1
1490218,0833392,1
1752799,0833392,1
1758283,0833392,1
1490424,0833392,2
0435263,0833392,1
0246280,0833392,1
0318089,0833392,2
0319772,0833392,1
0646083,0833392,1
0314617,0833392,1
1694413,0833392,1
0331553,0833392,4
0526269,0833392,1
0328625,0833392,1
0320705,0833392,3
1753698,0833392,2
1530591,0833392,1
1723360,1054428,1
0314617,1054428,1
1482603,1054428,1
0331959,1054428,1
0825117,1054428,2
0833301,1054428,1
0830539,1054428,2
1762715,1054428,1
0331132,1054428,1
1020643,1054428,1
0334847,0328591,2
1536473,0328591,2
1639343,0328591,2
1583418,0328591,1
1315894,0328591,1
0339523,0328591,2
1539709,0328591,1
0331611,0328591,1
0887570,0331488,1
1700996,0331488,1
0333740,0331488,1
0328625,0331488,1
0331553,0331488,8
0432542,0331488,1
1723360,0331488,1
0314641,0331488,3
0331041,0331488,2
1489194,0331488,2
1054501,0331504,1
1528389,0331504,1
1486703,0331504,1
1489194,0331504,1
1639343,0331504,1
0336339,0331504,1
0824904,0331504,1
1470848,0331504,1
1413871,0331504,1
0825752,0331504,1
1426048,0331504,1
1242387,0331504,1
0325845,0331504,1
0433243,0331504,1
0781047,0331504,1
1324565,0331504,1
0331967,0331504,1
1700996,0331504,6
0339051,0334847,1
1758960,0334847,2
0323253,0334847,1
0318063,0334847,1
1664937,0334847,2
0825695,0334847,2
0337980,0334847,1
0824813,0334847,1
0825752,0334847,1
0334862,0334847,1
0332239,0334847,1
0774422,0334847,1
1354208,0334847,1
1536473,0334847,1
0497172,0334847,1
0433011,0334847,1
0339150,0334847,2
0899468,0334847,1
1492248,0334862,1
0601104,0334862,1
1492131,0334862,2
1483163,0334862,1
1235787,0334862,1
0331611,0334862,1
0331074,0334862,1
0319368,0334862,1
1089358,0334862,1
0331819,0334862,1
1303544,0334862,1
1492354,0334862,1
0763581,0334862,1
1700996,0334862,1
1577410,0334862,2
0320135,0334862,1
0900043,0334862,1
1523554,0334862,1
0331397,0334862,1
1723360,0334862,1
0334979,0334862,1
0318048,0334862,1
0324152,0334862,1
0332197,0334862,1
1369966,0334862,1
0335067,0334862,1
0834374,0334862,1
1098938,0334862,3
1020403,0334862,1
0824904,0334862,1
0825695,0334862,1
0320515,0334862,1
0325803,0334862,1
1224989,0334862,1
0432914,0334862,1
0828137,0334862,2
0830539,0334862,1
1235266,0334862,1
1490010,0334862,1
1011477,0334862,1
0598524,0334862,1
1487610,0334862,1
1195049,0334862,1
0629329,0334862,1
1487073,0334862,1
0334847,0334862,2
1490820,0334862,1
1459643,0334862,1
0435263,0334862,2
0338640,0334862,1
1664937,0334862,1
0318436,0334862,1
1342211,0334862,1
0605592,0334862,1
0704957,0334862,1
0526673,0334862,1
0526491,0334862,1
1361435,0334862,2
0497172,0334862,1
0319541,0334862,1
0903583,0334862,1
0556431,0334862,1
0824813,0334862,1
0337980,0334862,1
0662551,0334862,1
0331504,0334862,3
0331157,0334862,1
1536473,0334862,1
1490275,0334862,1
0334938,0334862,3
1263557,0334862,1
1433689,0334862,1
0601831,0334862,1
1072305,0334862,1
0339374,0334862,1
0331447,0334862,1
0779538,0334862,1
0466649,0334862,1
1186683,0334862,1
1494517,0334862,1
1240290,0334862,4
0432716,0334862,1
1491463,0334862,2
0332288,0334862,3
0339317,0334862,1
0336370,0334862,1
1576925,0334862,1
0325845,0334862,2
1072966,0334862,2
1403765,0334862,1
0664045,0334862,1
1401843,0334862,1
0468488,0334862,2
0900902,0334862,1
0825117,0334862,1
1525864,0334862,1
0835215,0334862,1
1481290,0334862,1
1426048,0334862,3
0434340,0334862,2
0320705,0334862,1
1728641,0334862,1
0319582,0334862,1
0825653,0334862,1
1050368,0334862,1
1539709,0334862,2
0780635,0334862,1
0875260,0334862,1
0432641,0334862,1
1492388,0334862,1
0338954,0334862,1
1050020,0334862,1
1481894,0334862,1
0339119,0334862,3
1050566,0334862,1
1053909,0334862,3
0777201,0334862,1
0331553,0334862,1
1050087,0334862,2
1490713,0334862,1
0339150,0334862,1
1487008,0334862,1
0825026,0664045,1
1488980,0664045,1
0338012,0664045,1
0884445,0664045,1
0436212,0664045,1
1536473,0664045,2
0331637,0664045,1
0763730,0664045,1
0833392,0664045,1
0319582,0664045,1
0828137,0664045,1
0331470,0664045,1
0334847,0664045,1
0325787,0664045,1
1700996,0664045,1
0334771,0334664,1
0340281,0334664,1
1723378,0334664,2
0581702,0334664,1
0337568,0334664,1
0437251,0334664,1
1342229,0334664,1
0245688,0334664,1
0497198,0334664,1
1482090,0334664,1
0556266,0334664,1
0826941,0334664,1
0705061,0334664,1
0337121,0334664,1
1494327,0334664,1
0325472,0334664,1
0334649,0334664,1
0334722,0334664,1
0642892,0334664,1
1412691,0334664,1
0511105,0334664,1
0437715,0334664,1
1499300,0334664,1
0340398,0334722,2
0884536,0334722,1
1245794,0334722,1
0578294,0334722,1
0334664,0334722,3
1243476,0334722,2
1098250,0334722,2
0607531,0334722,1
0337253,0334722,1
0437251,0334722,1
1505403,0334722,1
0510396,0334722,1
1492412,0334722,1
0437442,0334722,1
1370923,0334722,3
1234749,0334722,1
0665463,0334722,1
1719707,0334722,1
1264753,0334722,2
1577428,0334722,1
1490671,0334722,2
1020429,0334722,2
0728055,0334722,1
0900670,0334722,1
0337014,0334722,1
0751230,0334722,1
1441005,0334722,1
0336560,0334722,1
0437400,0334722,1
1664945,0334722,3
1020437,0334722,4
1470509,0334722,1
0337568,0334722,8
0566422,0334722,2
1483239,0334722,1
0578351,0334722,1
1669779,0334722,1
0665083,0334722,1
1437375,0334722,1
0325662,0334722,1
1668979,0334722,1
1701002,0334722,3
0775320,0334722,1
0437426,0334722,1
0518944,0334722,1
0334714,0334722,1
0336537,0334722,3
1763101,0334722,1
1491521,0334722,2
1763234,0334722,1
0763771,0334722,1
1529023,0334722,1
0336602,0334722,1
0578310,0334722,3
0337436,0334722,2
1662535,0334722,1
0466383,0334722,4
0884650,0334722,1
1489822,0334722,5
0645093,0334722,1
1048990,0334722,1
0502484,0334722,1
1489327,0334722,1
1401918,0334722,1
1097781,0334722,1
0437277,0334722,1
1483528,0334722,1
1222223,0334722,1
1482132,0334722,1
1391291,0334722,1
1391325,0334722,1
0578435,0334722,1
1235829,0334722,1
1636497,0334722,1
1723378,0334722,1
0632471,0334722,1
1007491,0334722,3
1781418,0334722,1
0334706,0334722,2
0556332,0334722,1
0337162,0334722,5
1243906,0334722,1
0872762,0334722,1
0466722,0334722,1
1482900,0334722,1
0582304,0334722,1
0578559,0334722,1
0743807,0334722,1
0590646,0334722,1
0884825,0334722,1
1694942,0334722,1
0437731,0334722,1
0497198,0334722,1
1241454,0334722,1
1484377,0334722,1
1490127,0334722,1
0642801,0334722,1
1376870,0334722,1
1481274,0334722,1
1536481,0334722,1
1242510,0334722,3
1070192,0334722,1
0665083,0337014,1
0336669,0337014,1
0518944,0337014,4
1169168,0337014,2
1539717,0826974,1
1402064,0826974,1
0337121,0826974,1
0466383,0826974,1
1489673,0826974,2
0437442,0826974,1
1305002,0826974,9
1407337,0826974,1
0605519,0826974,1
1194885,0415984,1
1731710,0906412,1
1663210,0906412,1
0542803,0764555,1
0833756,0764555,2
1487008,0764555,1
0828558,0764555,1
0833459,0764555,3
1262278,0764555,1
1486281,0764555,1
1758283,0764555,6
0664045,0764555,1
1415272,0764555,1
1169481,0764555,1
0833699,0764555,3
0689745,0764555,1
1752799,0764555,1
0319020,0764555,1
1492131,0764555,1
