COD_MOD,COD_MOD_DESTINO,WEIGHT
1038199,0411504,1
0503052,0411504,1
0826263,0416057,2
1053818,0411736,1
0482042,0411736,1
0285775,0411736,1
0566463,0577627,1
0588830,0416412,1
0253732,0416420,1
1482066,0577361,1
0662726,0908384,1
1665413,0908384,1
1483023,0908384,1
1524909,1620236,1
0245670,0336636,1
1719855,0336636,3
0628842,0336636,1
1245604,0336636,1
1492008,0336636,1
1486265,0336636,1
1020866,0336636,1
0663559,0336636,1
1663491,0336636,1
0833947,0336743,1
1199009,0336743,1
0336818,0336743,1
0337311,0336743,1
1760669,0336743,1
1073444,0336743,1
1243955,0336743,1
0677716,0336743,1
0772863,0578245,1
1490416,0578245,1
1234384,0578245,1
1422666,0578245,1
1069673,0578245,1
0337766,0578245,1
1763234,0578245,1
0337717,0578245,1
0314401,0578245,1
1351428,0578245,1
1170364,0578245,1
0590315,0578245,1
1639699,0578245,1
0646141,0578245,1
1376490,0578245,1
1198969,0833210,1
1498567,0833210,1
1719848,0833210,1
0584854,0833210,1
0338848,0833210,1
0327809,0833210,1
0332007,0833210,1
0774422,0833459,1
1169242,0833459,1
1391481,0833459,1
1735273,0833459,1
1491976,0833459,1
0338822,0833459,1
0314518,1021526,1
0325621,1021526,1
0583179,1021526,1
1170281,1021526,4
1701002,1021526,1
0338707,0497172,1
1483064,0497172,1
1503374,0497172,1
1020403,0497172,1
0665125,0497172,2
0320663,0497172,1
0835215,0497172,1
1072123,0497172,2
0468892,0497172,1
0888370,0497172,1
1401488,0497172,1
0319319,0497172,1
1433689,0497172,2
1491711,0497172,1
1361435,0497172,2
0331611,0497172,2
1752799,0497172,1
1053909,0497172,1
1403765,0497172,1
0902403,0497172,1
0661462,0497172,1
1415272,0497172,3
0739318,0497172,1
1694413,0497172,1
1169002,0497172,1
0334912,0497172,1
0639203,0497172,1
0432724,0497172,1
0332189,0497172,1
1723360,0497172,2
0541110,0497172,1
1007574,0497172,1
1372648,0497172,1
1099175,0497172,1
1536473,0497172,1
0320705,0497172,1
0246280,0497172,1
0332080,0497172,2
1616416,0497172,1
0761593,0497172,1
0824813,0497172,1
0334862,0764548,1
0318204,0764548,1
0824813,0764548,1
0325787,0764548,1
1009885,0764548,1
1489053,0337311,1
1265545,0337311,1
1749795,0337311,1
1371970,0337311,1
0827022,0337311,1
0334664,0337311,1
1422666,0337311,1
1555960,0337311,1
1499748,0337311,1
1484377,0337311,1
1020437,0601070,1
1009034,0601070,1
0884544,0601070,1
0334680,0601070,1
1536481,0601070,1
0334730,0601070,1
1723378,0764589,1
1694942,0764589,1
1666882,0764589,1
1188341,0764589,1
1492149,0764589,1
0828046,0764589,1
0826040,0764589,3
0510396,0764589,1
0885483,0764589,1
0337436,0764589,1
1021682,0764589,2
0336982,0764589,1
0331504,1020403,1
1758960,1020403,1
1433689,1020403,1
0497172,1020403,1
1490879,1020403,1
0319830,1020403,1
1089952,1020403,1
0337980,1020403,1
0902403,1020403,2
1415272,1020403,1
0435305,1020403,1
0662890,1020403,1
1098938,1020403,1
0338889,1020403,1
0825695,1020403,1
1009075,0644690,1
